Team,,Payer Information,,,Technician Certifications,,,,,Telehealth,,,,,,Direct/Indirect,,,,BCaBA Allowances,,,Group Therapy Size Specifications,,,Miscellaneous Payer Rules,,
Tami/Rebecca,Aetna Meritain - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Community Health Choice - Texas - Medicaid,Centria Autism Services-Texas,State,Private,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Texas Children's Health Plan - Texas - Medicaid,Centria Autism Services-Texas,State,Medicaid,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,Wellpoint - Texas - Medicaid,Centria Autism Services-Texas,State,Private,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,,,
Tami/Rebecca,GEHA Aetna - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Magellan - Texas - Private,Centria Autism Services-Texas,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,Approval for Tele Psych Testing is temporary,,
Tami/Rebecca,Presbyterian - New Mexico - Medicaid,Centria Autism Services-New Mexico,State,Medicaid,Yes,180 Days,No,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,BCBS - New Mexico - Medicaid,Centria Autism Services-New Mexico,State,Medicaid,Yes,180 Days,No,Yes,No,No,Yes,Yes,No,N/A,,,,,,,,,,,,,,
Tami/Rebecca,Aetna - Texas - Private,Centria Autism Services-Texas,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Optum - Texas - Private,Centria Autism Services-Texas,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Aetna - Virginia - Private,Centria Autism Services-Virginia,State,Private,No,No,Yes,Yes,No,Yes,Yes,Yes,No,N/A,Yes,Yes,No,N/A,Yes,,,,,,,Telehealth allowed for self-funded plans,,
Tami/Rebecca,Optum - Virginia - Private,Centria Autism Services-Virginia,National,Private,Yes,60 Days,No,No,No,No,Yes,Yes,Yes,93,Yes,Yes,Yes,20%,No,Yes,Yes,Yes,No,No,No,"Direct supervision time may account for 50 percent of more of case supervision time, with the remaining time utilized in indirect supervisory activities such as treatment planning; 90791 allowed via telehealth",,
Tami/Rebecca,Magellan - Virginia - Private,Centria Autism Services-Virginia,National,Private,Yes,No,Yes,No,No,Yes,Yes,Yes,No,N/A,Yes,,,,,,,,,,,Approval for Tele Psych Testing is temporary,,
